iter	Passed	Remaining
0	1	193
1	3	192
2	6	195
3	7	168
4	8	167
5	9	155
6	11	156
7	13	157
8	15	157
9	17	157
10	19	155
11	21	157
12	23	157
13	25	156
14	27	156
15	29	155
16	31	153
17	33	152
18	35	151
19	37	150
20	39	149
21	41	147
22	43	146
23	45	144
24	47	143
25	49	141
26	51	139
27	53	136
28	54	133
29	56	131
30	57	128
31	59	125
32	60	122
33	61	120
34	63	117
35	64	114
36	65	111
37	66	109
38	68	106
39	69	103
40	70	101
41	70	97
42	71	95
43	72	92
44	74	90
45	75	88
46	76	85
47	77	83
48	78	81
49	79	79
50	79	76
51	80	74
52	81	72
53	82	70
54	83	68
55	83	65
56	84	63
57	85	62
58	86	60
59	87	58
60	88	56
61	88	54
62	89	52
63	90	50
64	91	49
65	92	47
66	92	45
67	93	44
68	94	42
69	95	40
70	95	39
71	96	37
72	97	35
73	97	34
74	98	32
75	98	31
76	99	29
77	100	28
78	100	26
79	101	25
80	102	23
81	102	22
82	103	21
83	104	19
84	104	18
85	105	17
86	106	15
87	106	14
88	107	13
89	108	12
90	108	10
91	109	9
92	110	8
93	110	7
94	111	5
95	112	4
96	112	3
97	113	2
98	114	1
99	114	0
